AirportID,Name,City,Country,IATA,ICAO,Start_Latitude,Start_Longitude,Altitude,TimeZone,Type,Final_Longitude,Final_Latitude
12055,Shanshan Airport,Shanshan,China,SXJ,ZWSS,42.9117012023926,90.24749755859379,0,,airport,114.208,30.7838
12921,Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,AXF,ZBAL,38.74831,105.58858000000001,4560,8.0,airport,114.208,30.7838
13192,Delingha Airport,Haixi,China,HXD,ZLDL,37.125285999999996,97.268658,9843,8.0,airport,114.208,30.7838
13193,Qionghai Bo'ao Airport,Qionghai,China,BAR,ZJQH,19.13824,110.454775,30,8.0,airport,114.208,30.7838
13229,Shaoyang Wugang Airport,Shaoyang,China,WGN,ZGSY,26.802,110.64200000000001,1444,8.0,airport,114.208,30.7838
13257,Renk Airport,Huangshan,China,,HSRN,11.832469272300001,32.8104972839,1278,8.0,airport,114.208,30.7838
13473,Songyuan Chaganhu Airport,Songyuan,China,YSQ,ZYSQ,44.938114,124.550178,459,8.0,airport,114.208,30.7838
13476,Zunyi Maotai Airport,Zunyi,China,WMT,ZUMT,27.81638,106.33268000000001,4068,8.0,airport,114.208,30.7838
13477,Libo Airport,Libo,China,LLB,ZULB,25.4525,107.96166699999999,0,8.0,airport,114.208,30.7838
13480,Ejin Banner-Taolai Airport,Ejin Banner,China,EJN,ZBEN,42.0155,101.0005,3077,8.0,airport,114.208,30.7838
13481,Alxa Right Banner Badanjilin Airport,Alxa Right Banner,China,RHT,ZBAR,39.225,101.546,4659,8.0,airport,114.208,30.7838
13482,Holingol Huolinhe Airport,Holingol,China,HUO,ZBHZ,45.487221999999996,119.40722199999999,0,8.0,airport,114.208,30.7838
13483,Golog Maqin Airport,Golog,China,GMQ,ZLGL,34.418065999999996,100.301144,12426,8.0,airport,114.208,30.7838
13488,Cangyuan Washan Airport,Cangyuan,China,CWJ,ZPCW,23.273889,99.373611,0,8.0,airport,114.208,30.7838
13489,Lancang Jingmai Airport,Lancang Lahu,China,JMJ,ZPJM,22.415833,99.786389,0,8.0,airport,114.208,30.7838
13490,Ninglang Luguhu Airport,Ninglang,China,NLH,ZPNL,27.5403,100.7593,10804,8.0,airport,114.208,30.7838
13494,Xinzhou Wutaishan Airport,Xinzhou,China,WUT,ZBXZ,38.597456,112.969173,2527,8.0,airport,114.208,30.7838
14091,Changsha Datuopu Airport/AFB,Changsha,China,,ZGCS,28.0688991547,112.958000183,170,,airport,114.208,30.7838
8076,Al Maktoum International Airport,Dubai,United Arab Emirates,DWC,OMDW,24.896356,55.161389,114,4.0,airport,114.208,30.7838
8588,Paris International Airport,Paris,France,PAR,,48.856389,2.3522220000000003,107,1.0,airport,114.208,30.7838
8590,London International Airport,London,United Kingdom,LON,,51.508055999999996,-0.127778,66,0.0,airport,114.208,30.7838
8591,NYC International Airport,New York,United States,NYC,,40.714166999999996,-74.005833,31,-5.0,airport,114.208,30.7838
8592,Chicago International Airport,Chicago,United States,CHI,,41.883611,-87.63166700000002,596,-6.0,airport,114.208,30.7838
8594,Tokyo International Airport,Tokyo,Japan,TYO,,35.689444,139.691667,123,9.0,airport,114.208,30.7838
8596,Milan International Airport,Milan,Italy,MIL,,45.463611,9.188056,402,1.0,airport,114.208,30.7838
8597,Washington International Airport,Washington,United States,WAS,,38.889444,-77.035278,25,-5.0,airport,114.208,30.7838
8598,Montreal International Airport,Montreal,Canada,YMQ,,45.508611,-73.553889,53,-5.0,airport,114.208,30.7838
8599,Toronto International Airport,Toronto,Canada,YTO,,43.653056,-79.38305600000002,302,-5.0,airport,114.208,30.7838
1553,Ciampino–G. B. Pastine International Airport,Rome,Italy,CIA,LIRA,41.7994,12.5949,427,1.0,airport,114.208,30.7838
1229,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.471926,-3.56264,1998,1.0,airport,114.208,30.7838
2378,Gimpo International Airport,Seoul,South Korea,GMP,RKSS,37.5583,126.791,59,9.0,airport,114.208,30.7838
1701,Atatürk International Airport,Istanbul,Turkey,ISL,LTBA,40.976898,28.8146,163,3.0,airport,114.208,30.7838
2985,Sheremetyevo International Airport,Moscow,Russia,SVO,UUEE,55.972599,37.4146,622,3.0,airport,114.208,30.7838
3355,Canberra International Airport,Canberra,Australia,CBR,YSCB,-35.3069000244141,149.195007324219,1886,10.0,airport,114.208,30.7838
3157,Don Mueang International Airport,Wuhan,Thailand,DMK,VTBD,13.912599563599999,100.607002258,9,7.0,airport,114.208,30.7838
